Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1847,,,,,,,,9/18/1847,Register,"This document is a rate bill of persons liable for school fees in school section no. 1, Willoughby.The parents are listed next to the number of children and the amount owing for tuition.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/98231898.jpg,,982.318.98,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/thumbs/98231898.jpg,,tuitionfeesparentsschool section no. 1Willoughby,
1844,,,,,,,,9/18/1844,Receipt,"This is a note from the Queen's Bench in a case between Hill and Gonder (Gander). Where Gonder (Gander), the defendant is to pay 6 pounds 3 shillings and 1 pence. It is signed by the Sheriff's office Niagara.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/98231891.jpg,,982.318.91,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/thumbs/98231891.jpg,,"Queen's Benchdefendant, Sheriff's Office",
1878,,,,,,,,9/16/1878,Tintype,"A colour tinted tintype of Hannah Catharine Lowe on her wedding day. She married John Dease Servos (1849-1907) on September 16, 1878. Hannah and her son, Lancelot, lived for many years at 155 Gate Street. She is notable for being the secretary of William Kirby, the prominent Niagara writer, during the time he wrote his most famous work, The Golden Dog. .",https://s3.amazonaws.com/pastperfectonline/images/museum_74/055/991026.jpg,,991.026,https://s3.amazonaws.com/pastperfectonline/images/museum_74/055/thumbs/991026.jpg,,,
1897,,,,,,,,9/15/1897,Report,"Return of convictions for June 8, 1897 to September 14, 1897, 1888 at the Office of the Clerk of the Peace, St. Catharines.The Clerk of the Peace was M. Brennan.The crimes to be paid to Treasurer of Niagara Town;- Francis Doyle, drunk, disorderly, $7.00",https://s3.amazonaws.com/pastperfectonline/images/museum_74/086/2009027185.jpg,,2009.027.185,https://s3.amazonaws.com/pastperfectonline/images/museum_74/086/thumbs/2009027185.jpg,,"crimeconvictionsprosecutordefendantpenaltydisturbing religious worshipselling liquorfishing illegally with spearsassault, Vagrancyriding bicycle on sidewalkanimal running at largedrunknuisancebatteryabusive languagereckless drivingbreach of peace",
1860,,,,,,,,9/15/1860,letter,"By orders of Richard Hiscott, Captain and Adjutant of the 1st Lincoln Militia, on Tuesday September 18th at 2 p.m. all men are to attend the reception of His Royal Highness, The Prince of Wales in Hamilton.There was also a meeting planned at the Court House on ""Monday next"" at 4 p.m..",https://s3.amazonaws.com/pastperfectonline/images/museum_74/081/9925010.jpg,,992.5.010,https://s3.amazonaws.com/pastperfectonline/images/museum_74/081/thumbs/9925010.jpg,,"1st Lincoln Militiareceptionmeetingbattalion ordersmilitia, Court House",
1829,,,,,,,,9/15/1829,"Notice, Legal","Written by Jacob Gonder (Gander) to John I. Harris, a Bailiff, this letter is requesting the bailiff to distrain the goods and chattels of John Persaal of Bertie.Persaal was seven months behind on his rent.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/9905546.jpg,,990.5.546,https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/thumbs/9905546.jpg,,"arrearschattlerent, Bertie",
1871,,,,,,,,9/13/1871,"Record, Sales",List of land transactions for lot 187 from 1799-1871.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/091/2006003009.jpg,,2006.003.009,https://s3.amazonaws.com/pastperfectonline/images/museum_74/091/thumbs/2006003009.jpg,,"Registration, Registrypropertyreal estate",
1818,,,,,,,,9/10/1818,Agreement,"Thompson Mckeel and Daniel Walsworth promised a half thousand oak standard staves to be delivered to Jacob Gonder (Gander). Levi Gilmore, Baltus Staly and Dickenson all promised one thousand oak standard staves to be delivered to the bank at Jacob Gander's house.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/9905464.jpg,,990.5.464,https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/thumbs/9905464.jpg,,"oakstaves, Promissory note",
1871,,,,,,,,9/1/1871,Indenture,An indenture for a half acre of land on the front part of lot 187 in the Town of Niagara. The sale includes the buildings from James and Eliza Elliott to George William Strathy for $200.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/091/2006003010.jpg,,2006.003.010,https://s3.amazonaws.com/pastperfectonline/images/museum_74/091/thumbs/2006003010.jpg,,propertylot 187real estate,
1855,,,,,,,,9/1/1855,List,This is a list of names for members of the Niagara Fire Company.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/075/978174.jpg,,978.174,https://s3.amazonaws.com/pastperfectonline/images/museum_74/075/thumbs/978174.jpg,,"Niagara Fire Company, Fire Fighters",
1844,,,,,,,,9/1/1844,"Orders, Military",Samuel Street is writing to Michael D. Gonder (Gander) about Regimental Orders to muster the militia to participate in the re-construction of the monument in memory of General Brock.All subscriptions are to be voluntary and not compelled.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/98231894.jpg,,982.318.94,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/thumbs/98231894.jpg,,"Battle of Queenstonsubscriptionsre-construction, Brock's Monument3rd Lincoln, Militia, Regiment, Queenston Heights",
1835,,,,,,,,9/1/1835,Indenture,"This document is an agreement of Jacob Gonder (Gander) to lease his land and house to William Robinson. Specifically, ""his house and land near the River Niagara in the village of Waterloo Township of Bertie.""This agreement was made September 1, 1835 at the village of Waterloo in the Township of Bertie.Rent was one pound currency to be paid monthly in advance for twelve calendar months.It was witnessed by William A Warren. Signed by Jacob Gander and Willam Robinson placed his mark on his name.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/98231874.jpg,,982.318.74,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/thumbs/98231874.jpg,,"rentleasevillage of Waterloo, Bertie Township, Niagara River",
1826,,,,,,,,9/1/1826,Roster,"Copied on October 10, 1840 this document is true copy of a Certificate of Annuities to ""Indians"", Indigenous Peoples, originally dated September 1, 1826.""I hereby certify that the following Indians are entitled to the annuities, during each of their lives, set oppointe their names respectively, and that satisfactory security for the payment of the same shall be executed by Robert Troup, Thomas S. Ogden and Benjamin W. Rogers of the city of New York."" The following list incudes names, city, date of death, age at creation of the document and the annuity payment amount.Young King, a Buffalo Chief, died May 1835, age 58, $80Pollard, ditto [Buffalo], age 60, $80Black Snake, Allegany, age 63, $80Sittle Beard, Tonawanda, died May 1833, age 45, $80Seneca White, Buffalo, age 41, $80James Robinson, Allegany, died March 1839, age 51, $50Destroy Town, Buffalo, died August 1834, age 54, $50Stevenson, do, age 56, $50Bill Jones or Indian Bill, do, age 32, $50Barefoot, Tonawanda, age 30, $40John Snow, Buffalo, died 4 January 1840, age 40, $40Charles Cornplanter, Allegany, age 46, $40Strong, Cattaraugus, age 50, $40Sittle Billy, Buffalo, died in fall of 1834, age 75, $40Sittle Johnson, do, age 47, $30Two Guns, do, age 36, $30Blue Eye, Allegany, age 58, $30John Pierce, do, age 48, $30Shango, Caneadea, died in fall of 1833, age 68, $25Red Jackett, Buffalo, dead, age 68, $55Total amount owed, $1,000""Satisfactory security has been executed to the Indians for the above annuities, and this Instrument is cancelled.June 1827Signed Jasper ParishSab [Ind] Agent"" Jasper Parish was an Indian Agent for the Seneca people.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/070/9945422.jpg,,994.5.422,https://s3.amazonaws.com/pastperfectonline/images/museum_74/070/thumbs/9945422.jpg,,"Annuities, Payments, Native, Indian, Indigenous",
1916,,,,,,,,Sept.1916,Poem,A poem entitled Niagara-on-the-Lake by Elizabeth Florence West as printed in the Westminster Magazine.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/063/2006001001.jpg,,2006.001.001,https://s3.amazonaws.com/pastperfectonline/images/museum_74/063/thumbs/2006001001.jpg,,"Poetry, Poets",
1837,,,,,,,,Sept. 1837,Needlework,"Needlework one of four geometric designs. In patchwork of stain, silk & cotton, also a penned note. Signed B.J.C. Done By Mrs. Riley in Time of Slave Rescue, September 1837.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/062/9723032.jpg,,972.303.2,https://s3.amazonaws.com/pastperfectonline/images/museum_74/062/thumbs/9723032.jpg,,"Needlework, Geometric Slave Cotton",
1837,,,,,,,,Sept. 1837,Needlework,"Needlework one of four geometric designs. Patchwork of stain, silk, & cotton, also a penned note.Signed B.J.C. Done By Mrs. Riley in Time of Slave Rescue, September 1837.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/062/9723034.jpg,,972.303.4,https://s3.amazonaws.com/pastperfectonline/images/museum_74/062/thumbs/9723034.jpg,,Needlework Geometric Cotton Slave,
1759,,,,,,,,"Sept 8-11,1759",Newspaper,"Vol.V1 #422 of The London Chronicle or Universal Evening Post dated from Sept. 8, 1759 to September 11, 1759. The articles within the newspaper focus on the progress that is being made by the British army during the French-Indian War.Transcriptions of relevant articles are as follows:Copty of a Letter from James De Lancey, Fsq; Lieutenant Governor of New York, to Mr. Secretary Pitt.New York, August 5, 1759Sir,As I would not slip an opportunity of conveying agreeable news, I take this, by a merchant ship, ready to sail for Bristol, with pleasure to congratulate you on the success of his Majesty's arms, in defeating the French army, coming to the relief of Niagara, which brought on the early surrender of the fort, whereby the most important pass in all of the Indian countires is brought under his Majesty's subjection.The army defeated was made up by troops drawn from Venango, Beave River, and Presq' Isle, so that those parts must in a manner lie open to Brigadier General Stanwix; and therefore I cannot doubt of his success.I received the account yesterday afternoon by express: for the particulars I refer to the inclosed relation sent me by Lieut. Coventry, Assistant Deputy Quarter Master General at Albany, which contains the substance of the intelligence I have received. Copy of Lieut. Coventry's Letter to Lieutenant Governor De Lancey.Albany, August 2, 1759SirI have this moment received the agreeable news of Niagara's surrendering to our army on the 25th ult. Six hundred and seven prisoners are on their way from Niagara for this place. Lieut. Moncrieff brought the dispatches, and sets out tomorrow morning for Ticonderoga. If Col. Amherst be not failed, let him have the enclosed.Copy of the Account of the Defeat of the French near Niagara, and Reduction of the Fort, inclosed in Lieut. Coventry's Letter.This day Lieut. Moncrieff, Aide de Camp to the late Gen. Prideaux, arrived here from Niagara, which he left the 26th inst. in his way to Gen. Amherst. From the said gentleman we have the following particulars; viz. That, after the melancholy accident of the 20th [Brigadier General Prideaux being killed by the bursting of a cohorn] the command of the army devolving on Sir William Johnson, he continued to pursue the late general's vigorous measures, and erected his third battery within 100 yards of the flag bastion. Having intelligence from his Indians of a large party on their march from the falls, to relieve the fort, Sir William made a disposition to prevent them. The 23rd, in the evening, he ordered the light infantry, and picquets of the line, to lie near the road on our left, leading from the falls to the for. These he reinforced, in the morning of hte 24th, with the grenadiers, and part of the 46th regiment, all under the command of Lieutenant Colonel Massey. Lieutenant Colonel Farquhar, with the 44th battalion, was ordered to the tail of the trenches, to support the guard of the trenches commanded by Major Beckwith. About eight in the morning, our Indians advanced to speak to the French Indians, which the enemy declined. The action began soon after, with the scream, as usual, from the enemy; but our troops were so well diposed to receive them in front, and our Indians on their flanks, that, in less than an hour's time, the whole army was ruined. The number of slain was not ascertained, as the pursuit continued for five miles. 17 officers were made prisoners, among whom are M. D'Aubry, Chief in Command, wounded; M. De Lignery, second in command, and wounded,; also M. Marin, Leader of the Indians; M. de Villie, Repentini, Martini, Basone, all Captains; and several others. After this defeat, which was in sight of the garrison, Sir William sent Major Harvey into the fort, with a list of the officers taken, recommending it to the Commanding Officer to surrenderm before more blood was shed, and while he had it in his power to restrain the Indians. The Commanding Officer, to be certain of such a defeat, sent an Officer of his to see the prisoners; they were shown to him; and, in short, the capitulation was finished about ten at night on the 24th, by which teh garrison surrendered with the honours of war; which Lieut. Moncrieff saw embarked the mornign he came away, to the number of 607 private men, exclusive of the Officers and their Ladies, and those taken in the action. We expect them here tomorrow on their way to New York. Whitewall, September 3. This morning Lieutenant Colonel Amherst arrived here with letters from Major Ganeral Amherst to the Right Honourable Mr. Secretary Pitt, dated at the camp of Ticonderoga the 17th July; giving an account of his having taken possession of the lines of that place on the 24th, the garrison having abandoned and set fire to the fort. The preceding night, at ten o'clock, some volunteers got into the fort, and brought the colours away with them. The troops extinguished the fire as soon as possible, and saved all they could. The letters add, that Honourable Colonel Townshend, Deputy Adjutant General, was killed on the 25th of July, but on what occasion is not mentioned. Whitewall, September 10On Sunday the 8th instant, at two of the clock in the afternoon, Captain Prescott arrived with the following letter from Major General Amherst to Mr. Secretary Pitt, dated Crown-Point, August 5, 1759.Sir,I did myself the honour of writing to you a very short letter on the 27th of July, as I would not retard Lieut. Col. Amherst from settin gout, that he might acquiaint you of his Majesty's troops being in possession of the Fort and lines of Ticonderoga; and I now send Captain Prescott with this, to inform you of the great event of the redution of Niagara; and at the same time to give you an account of my arrival here with a part of the army under my immediate command.The 27th of July, I encamped within the lines, and began to level the trenches and batteries, filled up the road I had made from Lake Chaplain to the Saw-Mill River for the carrying on the siege, encamped four battalions of Provincials near the Fort for repairing the works, sent 500 men to Fort George for provisions, etc. ordered all the French boats to be fished up, and the brig and boats I had ordered to be built for carrying gunsm, to be finished in all haste, that I may be superior to the enemy's troops on the Lake. 28th. The fire was not totally extinguished. I fowarded everything as fast as possible that I might get possession of Crown Point without loss of time. In the aftrnoong I received an account of most unlucky accident, the death of Brigadier-General Prideaux, who was walking in the trenches on the evening of the 19th; the gunner carelessly fireed a cohorn and shot him, when the approaches were within 140 yards of the covered way. I immediately ordered Brigadier-General Gage to set out for Oswego, to take on him the command of that army. 29th. Five companies of Provincials arrived this day from the provinces. Intelligence that the enemy troops, which were encamped on the eastern side of the Lake, were now moved to Crown Point: I kept small parties constantly looking from the mountains into Crown Point, their two sloops, and a schooner there: They depend on my not getting boats over, and that I shall be obliged to build some of force. 30th. It raiend hard last night, and this day, which put a great stop to getting the batteaus over the Carrying-Place.31st. I ordered the Fort by the water side to be put in good order, and to be completed, as the enemy had not quite finished it: Ordered the Fort of Ticonderoga to be repaired upon the same plan as the enemy had built it, which will save great time and expenses, as it si but a small part of the whole that is ruined; the costs the enemy has been at in building the Fort and houses are very great. The glacis and covered way quite good: The counterscarp of the glacis, masonry: The counterscarp of the dutch, masonry. Two ravelins of masonry that cover the only front to which approaches can be carried on. The Fort, a square with four bastions, built with logs on the rocks, which are covered with some masonry to level the foundation. The wood part of it is the worst finished. One bastion, and a part of two courtins, demolished, but not in the front that can be earliest attacked. The casements are good; the walls of the burnt barracks are not damaged. Eleven good ovens have helped us greatly. As the situation of the Fort is very advantageous for the protection of his Majesty's dominions, and the approaches may be rendered as difficul to the enemy, as they have been to the King's troops, and that there is no fault in it but its being small, I have thought proper to have it repaired,which I hope will meet with your approbation. 1st of August. At noon a scouting party's came in, said the enemy had abandoned Crown Point; this makes no alteration in my motions, as I am already trying all I can to get forward; but on this, I sent away Major General Graham with all expedition to command the 2nd battalion of the Royal Highland regiment, and to march them to Ofwego, that in case, from the unfortunate death of Brigadier General Prideaux, the reduction should not have taken place. Brigadier General Gage may return to the attack with the utmost vigour and dispatch, and to pursue the ulterior operations of the campaign.2nd. Very rainy weather put a stop entirely to getting boats over the Carrying Place this day.3rd. A party I had sent to Crown Point, brought in a deserter from late Forbes' in a French coat, one that I had pardoned for desertion when I was at Fort George. I thought it so necessary to make an immediate example, that I had him hanged directly. Sent two hundred rangers through the woods to Crown Point.4th. The Generale at two in the morning, Assemblee half an hour later, and the Rangers, Light Infantry, Grenandiers, and two brigades of Regulars, were soon embarked, except the Royal Highland regiment that waited for boats, which detained me some time. I however arrived at Crown Point before the evening, landed and posted all the corps, some encamped and some lay on their arms. At night, Lieut. Moncrieff, whom I had sent with Brigadier General Prideaux, arrived with a letter from Sir William Johnson, enclsoing the capitulation of Niagara, both which I have the satisfaction to sent to you.5th. I ordered Lieut. Col. Eyre to trace out the ground for a Fort, which I will set about with all possible expedition. This post secure entirely all his Majesty's dominions that are behind it, from the inroads of the enemy, and the scalping parties that have infested the whole country, and it will give great peace and quiet to the King's subjects, who will now settle in their habitations from this to New York. I shall take fast hold of it, and not neglect, at the same time, to forward every measure I can to enable me to pass Lake Chaplain, and you may be assured, Sir, I shall, to the best of my capacity, try to pursue everything for the success and honour of his Majesty's arms.I am, etc.Jeff. Amherst",https://s3.amazonaws.com/pastperfectonline/images/museum_74/002/2002063ab.jpg,,2002.063 (A-B),https://s3.amazonaws.com/pastperfectonline/images/museum_74/002/thumbs/2002063ab.jpg,,"Fort Niagara, Fort Ticonderoga, French-Indian War",
1816,,,,,,,,"Sept 19, 1816",Account,"This is a receipt from a Mr. Baldwin to Jacob Glen. Document is handwritten with black ink and is dated September 19, 1816.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/072/2004029009.jpg,,2004.029.009,https://s3.amazonaws.com/pastperfectonline/images/museum_74/072/thumbs/2004029009.jpg,,,
1883,,,,,,,,sept 1883,Photograph,"A black and white photo of a middle-aged man with a mustache in a dark jacket. He has a mustache. The background fades into the portrait of him. Labelled on the front under the photograph in black ink are the words ""T. F. Best Mayor 1895, 1890"". On the reverse is the studio stamp of ""Gehrig, 337 West Madison St., Chicago"" Under this in pencil is written ""Sept. 1883"". This is presumably Thomas Frederick Best (1858-1912) who is buried in St. Mark's Cemetery.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/044/9841112.jpg,,984.1.112,https://s3.amazonaws.com/pastperfectonline/images/museum_74/044/thumbs/9841112.jpg,,,
1842,,,,,,,,Sept 1842,Claim,This is a legal complaint in Queens Bench between Robert Dickson et. al. versus William Lewis Smith regarding unpaid legal bills in the sum of one hundred pounds.,https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/2003023003.jpg,,2003.023.003,https://s3.amazonaws.com/pastperfectonline/images/museum_74/083/thumbs/2003023003.jpg,,Queens Benchunpaid legal billsattorneyplaintiff,
